nodenumber     x-coordinate     y-coordinate     z-coordinate     z-wall-shear     y-wall-shear     x-wall-shear       wall-shear         pressure     z-coordinate     y-coordinate     x-coordinate 
        73  1.392911224E-01  1.867689056E-01 -1.641578674E-01  1.210641679E-03  1.022940978E-01  1.311639293E+00  1.322594459E+00  2.393156250E+01 -1.641578674E-01  1.867689056E-01  1.392911224E-01 
        74  1.391343384E-01  1.865923767E-01 -1.641573944E-01  4.592746714E-03  4.180287819E-01  1.367794918E+00  1.438997863E+00  1.840657151E+01 -1.641573944E-01  1.865923767E-01  1.391343384E-01 
        75  1.364981232E-01  1.848183136E-01 -1.641570435E-01 -2.596339152E-01  1.829348306E+00  3.052162378E+00  3.570279862E+00  3.631942353E+01 -1.641570435E-01  1.848183136E-01  1.364981232E-01 
        76  1.390919952E-01  1.867826691E-01 -1.641561279E-01 -5.725734695E-02  3.791953197E-01  1.186756636E+00  1.258640844E+00  2.212453552E+01 -1.641561279E-01  1.867826691E-01  1.390919952E-01 
        77  1.386076508E-01  1.860560608E-01 -1.641545563E-01 -2.339416843E-02  1.723502421E+00  2.302556431E+00  2.877447116E+00  4.452253914E+00 -1.641545563E-01  1.860560608E-01  1.386076508E-01 
        78  1.362899780E-01  1.846256714E-01 -1.641537933E-01 -2.315134057E-01  2.550812412E+00  3.559631816E+00  4.388577440E+00  3.328346194E+01 -1.641537933E-01  1.846256714E-01  1.362899780E-01 
        79  1.366629028E-01  1.849995117E-01 -1.641535492E-01 -1.712857882E-01  1.648743139E+00  3.059400913E+00  3.482110860E+00  3.878629739E+01 -1.641535492E-01  1.849995117E-01  1.366629028E-01 
        80  1.340966492E-01  1.827317200E-01 -1.641530609E-01 -8.891930415E-02  1.457915301E+00  1.260937246E+00  1.935126641E+00  4.492089464E+01 -1.641530609E-01  1.827317200E-01  1.340966492E-01 
        81  1.361155701E-01  1.844446869E-01 -1.641526337E-01 -3.837656867E-02  3.144620858E+00  4.656265475E+00  5.628113995E+00  3.462949163E+01 -1.641526337E-01  1.844446869E-01  1.361155701E-01 
        82  1.350104980E-01  1.836789093E-01 -1.641506042E-01  7.231598606E-02  2.693500481E+00  3.147400784E+00  4.145318405E+00  6.218482595E+01 -1.641506042E-01  1.836789093E-01  1.350104980E-01 
